"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","I","G","89.3939393939","89.3939393939","699.454545455","699.454545455","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","191964","2000","0.0104186201579","1","1","1","0","1","m","m","4","29","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","29","4","25","4","29","4","25","0","0","4","1","4","1","4","29","4","25","4","0","65","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","270","543","270","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","160967","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","159967","24416","149824","12237","159967","24416","149824","28118","2059","153867","4093","125429","16286","12223","159953","24401","149810","1218","161966","Go No-go Task","59","46164","66","yes","1024"
"","Y","G","89.552238806","89.552238806","693.104477612","693.104477612","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","191425","2000","0.0104479561186","1","1","1","0","1","m","m","4","30","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","30","4","25","4","30","4","25","0","0","4","1","4","1","4","30","4","25","4","0","66","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","274","543","274","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","162991","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","161991","24416","149824","12237","161991","24416","149824","28118","2059","153867","4093","125429","16286","12223","161977","24401","149810","1218","163990","Go No-go Task","60","46438","67","yes","1024"
"","C","G","89.7058823529","89.7058823529","691.441176471","691.441176471","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","177164","2000","0.0112889751868","1","1","1","0","1","m","m","4","31","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","31","4","25","4","31","4","25","0","0","4","1","4","1","4","31","4","25","4","0","67","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","580","543","580","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","165018","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","164019","24416","149824","12237","164019","24416","149824","28118","2059","153867","4093","125429","16286","12223","164005","24401","149810","1218","166017","Go No-go Task","61","47018","68","yes","1024"
"","U","G","89.8550724638","89.8550724638","687.246376812","687.246376812","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","182933","2000","0.010932964528","1","1","1","0","1","m","m","4","32","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","32","4","25","4","32","4","25","0","0","4","1","4","1","4","32","4","25","4","0","68","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","402","543","402","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","167047","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","166047","24416","149824","12237","166047","24416","149824","28118","2059","153867","4093","125429","16286","12223","166032","24401","149810","1218","168046","Go No-go Task","62","47420","69","yes","1024"
"","W","G","90","90","682.628571429","682.628571429","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","184487","2000","0.0108408722566","1","1","1","0","1","m","m","4","33","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","33","4","25","4","33","4","25","0","0","4","1","4","1","4","33","4","25","4","0","69","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","364","543","364","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","169074","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","168075","24416","149824","12237","168075","24416","149824","28118","2059","153867","4093","125429","16286","12223","168061","24401","149810","1218","170073","Go No-go Task","63","47784","70","yes","1024"
"","O","G","90.1408450704","90.1408450704","678.521126761","678.521126761","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","183213","2000","0.0109162559425","1","1","1","0","1","m","m","4","34","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","34","4","25","4","34","4","25","0","0","4","1","4","1","4","34","4","25","4","0","70","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","391","543","391","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","171102","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","170102","24416","149824","12237","170102","24416","149824","28118","2059","153867","4093","125429","16286","12223","170088","24401","149810","1218","172101","Go No-go Task","64","48175","71","yes","1024"
"","Q","G","90.2777777778","90.2777777778","675.25","675.25","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","180028","2000","0.0111093829849","1","1","1","0","1","m","m","4","35","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","35","4","25","4","35","4","25","0","0","4","1","4","1","4","35","4","25","4","0","71","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","443","543","443","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","173130","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","172131","24416","149824","12237","172131","24416","149824","28118","2059","153867","4093","125429","16286","12223","172117","24401","149810","1218","174129","Go No-go Task","65","48618","72","yes","1024"
"","A","G","90.4109589041","90.4109589041","673.698630137","673.698630137","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","173497","2000","0.0115275768457","1","1","1","0","1","m","m","4","36","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","36","4","25","4","36","4","25","0","0","4","1","4","1","4","36","4","25","4","0","72","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","562","543","562","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","175157","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","174158","24416","149824","12237","174158","24416","149824","28118","2059","153867","4093","125429","16286","12223","174144","24401","149810","1218","176156","Go No-go Task","66","49180","73","yes","1024"
"","D","G","90.5405405405","90.5405405405","670.310810811","670.310810811","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","183839","2000","0.0108790844163","1","1","1","0","1","m","m","4","37","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","37","4","25","4","37","4","25","0","0","4","1","4","1","4","37","4","25","4","0","73","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","423","543","423","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","177185","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","176185","24416","149824","12237","176185","24416","149824","28118","2059","153867","4093","125429","16286","12223","176171","24401","149810","1218","178184","Go No-go Task","67","49603","74","yes","1024"
"","H","G","90.6666666667","90.6666666667","666.493333333","666.493333333","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","187964","2000","0.0106403353834","1","1","1","0","1","m","m","4","38","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","38","4","25","4","38","4","25","0","0","4","1","4","1","4","38","4","25","4","0","74","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","384","543","384","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","178222","24416","149824","12237","178222","24416","149824","28118","2059","153867","4093","125429","16286","12223","178202","24401","149810","1218","180220","Go No-go Task","68","49987","75","yes","1024"
"","H","R","89.4736842105","89.4736842105","684.013157895","684.013157895","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116608","2000","0.017151481888","0","1","1","0","0","m","m","4","38","4","26","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","26","4","38","4","26","0","0","5","1","5","1","4","38","4","26","4","0","75","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","384","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","183285","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","182285","12237","178222","24416","182285","28118","2059","153867","4093","182270","16286","12223","178202","24401","182271","1218","184284","Go No-go Task","68","51985","76","yes","1024"
"","H","X","89.6103896104","89.6103896104","701.090909091","701.090909091","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116860","2000","0.0171144959781","1","1","1","0","1","m","None","4","38","4","27","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","27","4","38","4","27","0","0","5","1","5","1","4","38","4","27","4","0","76","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","384","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","185315","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","184315","12237","178222","24416","184315","28118","2059","153867","4093","182270","16286","12223","178202","24401","184301","1218","186314","Go No-go Task","69","53984","77","yes","1024"
"","H","G","88.4615384615","88.4615384615","717.717948718","717.717948718","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","117082","2000","0.0170820450624","0","1","1","0","0","m","m","4","38","4","28","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","28","4","38","4","28","0","0","5","1","5","1","4","38","4","28","4","0","77","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","384","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","187339","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","186340","12237","178222","24416","186340","28118","2059","153867","4093","182270","16286","12223","178202","24401","186326","1218","188338","Go No-go Task","69","55982","78","yes","1024"
"","H","D","87.3417721519","87.3417721519","733.924050633","733.924050633","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","117624","2000","0.0170033326532","0","1","1","0","0","m","m","4","38","4","29","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","29","4","38","4","29","0","0","5","1","5","1","4","38","4","29","4","0","78","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","384","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","189368","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","188368","12237","178222","24416","188368","28118","2059","153867","4093","182270","16286","12223","178202","24401","188354","1218","190367","Go No-go Task","69","57980","79","yes","1024"
"","H","X","87.5","87.5","749.7375","749.7375","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116740","2000","0.0171320884016","1","1","1","0","1","m","None","4","38","4","30","1","5","0","0","0","0","0","0","0","1","5","1","5","4","38","4","30","4","38","4","30","0","0","5","1","5","1","4","38","4","30","4","0","79","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","384","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","179221","25416","191397","14290","180274","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","180275","12237","178222","24416","190397","12237","178222","24416","190397","28118","2059","153867","4093","182270","16286","12223","178202","24401","190383","1218","192396","Go No-go Task","70","59979","80","yes","1024"
